"강좌명","접수상태","운영기간(시작)","운영기간(종료)","신청기간(시작)","신청기간(종료)","수강료","시간(시작)","시간(종료)","문의전화","첨부파일","운영기관","정원","접수","잔여","위치정보(위도)","위치정보(경도)","주소"
"단전호흡(거제3동 우선)","대기중","2024-07-01","2024-09-30","2024-06-10 09:00:00","2024-06-28 18:00:00","25000","09:00","10:00","051-665-5752","-","연제구 거제3동 주민자치회","10","0","10","35.1842855093959","129.071200965912","부산 연제구 거제대로 180 (거제동, 거제3동 행정복지센터)"
"[거제3동]한문교실","대기중","2024-07-01","2024-09-30","2024-06-10 09:00:00","2024-06-28 18:00:00","20000","15:00","17:00","051-665-5752","-","연제구 거제3동 주민자치회","10","0","10","35.1842855093959","129.071200965912","부산 연제구 거제대로 180 (거제동, 거제3동 행정복지센터)"
"시니어 모델워킹 교실","대기중","2024-06-08","2024-08-10","2024-05-20 00:00:00","2024-08-03 00:00:00","25000","14:00","16:00","051-240-6482","-","서구 서대신3동 주민자치회","15","0","15","35.1134674458","129.0119347224","부산 서구 대신로 27 (서대신동3가, 서대신3동주민센터)"
"동백마을 그린라이프","대기중","2024-05-25","2024-07-30","2024-05-20 00:00:00","2024-05-24 00:00:00","0","18:00","20:00","051-240-6407","-","서구 동대신1동 주민자치회","10","0","10","35.1096311894","129.0202189192","부산 서구 구덕로280번길 32 (동대신동1가, 동대신1동주민센터)"
"[오전반]월간 간편한식 5월","대기중","2024-05-23","2024-05-23","2024-05-16 10:00:00","2024-05-22 10:00:00","0","10:00","12:00","051-970-3746","-","농업기술센터","20","0","20","35.2132614133","128.98672361","부산 강서구 공항로 1285 (대저1동, 부산광역시농업기술센터)"
"[오후반]월간 간편한식 5월","대기중","2024-05-23","2024-05-23","2024-05-16 10:00:00","2024-05-22 10:00:00","0","14:00","16:00","051-970-3746","-","농업기술센터","20","0","20","35.2132614133","128.98672361","부산 강서구 공항로 1285 (대저1동, 부산광역시농업기술센터)"
"[서대신1동] 일상을 화보로 만드는 스마트폰 사진 찍기","대기중","2024-06-10","2024-08-12","2024-05-15 09:00:00","2024-06-07 18:00:00","10000","18:30","20:00","051-240-6465","-","서구 서대신1동 주민자치회","15","0","15","35.1110831624","129.0144160183","부산 서구 구덕로315번길 49 (서대신동2가, 서대신1동주민센터)"
"[서대신4동] 티키타카 탁구교실","접수중","2024-06-01","2024-08-31","2024-05-13 09:00:00","2024-05-31 18:00:00","0","15:00","17:00","051-240-6502","-","서구 서대신4동 주민자치회","12","0","12","35.119245217","129.0117521714","부산 서구 꽃마을로 58 (서대신동3가, 서대신4동주민센터)"
"색연필로 그려보는 우리동네 스케치","접수중","2024-06-08","2024-08-24","2024-05-13 09:00:00","2024-06-07 18:00:00","5000","10:00","12:00","051-240-6602","강의계획서(색연필로 그려보는 우리동네).hwp","서구 남부민1동 주민자치회","15","0","15","35.0913201640655","129.02289929821","부산 서구 천마로 176 (남부민동)"
"고고학 시민강좌 《발굴로 찾은 우리 궁(宮) 이야기》","접수중","2024-05-28","2024-05-31","2024-05-13 09:00:00","2024-05-23 18:00:00","0","14:00","16:00","051-550-0336","-","복천박물관","50","10","40","35.2087766206","129.0911740812","부산 동래구 복천로 63 (복천동, 복천박물관)"
"상반기 행복한 가정특강 [우리집을 밝혀줄 가족 무드등 만들기]","접수중","2024-05-25","2024-05-25","2024-05-08 09:00:00","2024-05-23 18:00:00","-","10:00","12:00","051-320-8344","-","여성문화회관","10","12","-2","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"샛디 teen-pop 댄스 스쿨","접수중","2024-05-08","2024-07-31","2024-05-08 09:00:00","2024-05-31 00:00:00","10000","18:00","20:00","051-240-6626","-","서구 남부민2동 주민자치회","20","0","20","35.0845081108","129.0205462765","부산 서구 천마로 87 (남부민동, 남부민2동 주민센터)"
"유실물 보관소","접수중","2024-05-25","2024-05-25","2024-05-07 14:00:00","2024-05-24 22:00:00","0","15:00","16:30","051-220-7344","-","현대미술관","50","0","50","35.1093307411","128.9426945259","부산 사하구 낙동남로 1191 (하단동, 부산현대미술관)"
"어린이 방송댄스(초등학생)","접수중","2024-06-01","2024-08-31","2024-05-07 09:00:00","2024-05-28 18:00:00","5000","10:00","11:30","051-240-6591","-","서구 충무동 주민자치회","15","0","15","35.0980222819","129.0216210166","부산 서구 구덕로148번길 16 (토성동5가, 충무동주민센터)"
"우리가족 데일리룩 만들기(미싱교실)","교육중","2024-05-13","2024-07-15","2024-05-02 00:00:00","2024-05-10 23:00:00","20000","10:00","12:00","-","-","북구 금곡동 주민자치회","0","0","0","35.2668363894863","129.018130267715","부산 북구 효열로275번길 12 (금곡동, 행복마을공동작업장)"
"일상타파 마크라메 공예","접수마감","2024-05-16","2024-07-25","2024-05-02 00:00:00","2024-05-10 00:00:00","20000","10:00","12:00","-","-","북구 금곡동 주민자치회","0","0","0","35.2668363894863","129.018130267715","부산 북구 효열로275번길 12 (금곡동, 행복마을공동작업장)"
"펜드로잉","접수중","2024-06-05","2028-05-03","2024-05-02 00:00:00","2024-05-31 00:00:00","30000","10:00","12:00","-","-","북구 금곡동 주민자치회","0","0","0","35.2500801336","129.0128491383","부산 북구 금곡대로 466 (금곡동, 금곡동주민센터)"
"(사생대회)2024년 청소년 창작대회 초등1~중등3","접수중","2024-05-18","2024-05-18","2024-05-01 10:00:00","2024-05-17 18:00:00","0","10:00","15:00","051)610-3222","참가신청서(단체용).hwp","금련산청소년수련원","1000","32","968","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"(도예대회)2024년 청소년 창작대회 초등1학년~고등학생","접수중","2024-05-18","2024-05-18","2024-05-01 10:00:00","2024-05-17 18:00:00","0","10:00","15:00","051)610-3222","참가신청서(단체용).hwp","금련산청소년수련원","1000","25","975","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"[대면] 사춘기 자녀와의 긍정적 관계 유단자 부모 되기 [柔(부드러울 유)軟(단단할 단)慈(사랑할자]","교육중","2024-05-10","2024-05-31","2024-05-01 00:00:00","2024-05-09 14:00:00","0","10:00","12:00","051-240-6347","강의계획서(힐링프로그램).hwp","아동보호종합센터","10","15","-5","35.1001944327","129.0158673942","부산 서구 까치고개로 183 (아미동2가, 부산광역시아동보호종합센터)"
"생활요가","접수중","2024-06-01","2034-12-31","2024-05-01 00:00:00","2030-12-31 00:00:00","20000","09:00","10:00","051-309-6402","-","북구 덕천3동 주민자치회","0","0","0","35.2099197439","129.0174569427","부산 북구 덕천로 118 (덕천동, 덕천제3동행정복지센터)"
"유난히 향긋한 천연화장품 만들기","교육중","2024-05-08","2024-07-31","2024-05-01 00:00:00","2024-05-08 23:30:00","0","18:30","20:30","240-6528","-","서구 부민동 주민자치회","0","0","0","35.1038168119","129.0184875331","부산 서구 임시수도기념로 22-11 (부민동3가, 부민동주민센터)"
"자연을 따라 하와이 훌라댄스","접수중","2024-05-11","2024-07-27","2024-05-01 00:00:00","2024-06-30 00:00:00","0","10:00","12:00","0512406446","-","서구 동대신3동 주민자치회","15","0","15","35.1144170335","129.0172618608","부산 서구 대영로73번길 92 (동대신동3가, 동대신3동주민센터)"
"플라워 아트 클래스","접수중","2024-05-28","2024-07-30","2024-04-30 17:00:00","2024-05-24 18:00:00","50000","18:00","20:00","240-6564","-","서구 초장동 주민자치회","15","0","15","35.0959789796","129.0202898694","부산 서구 초장로27번길 32 (초장동, 초장동주민센터)"
"천연제품 만들기 교실","접수마감","2024-05-14","2024-07-23","2024-04-30 00:00:00","2024-05-10 00:00:00","20000","14:00","16:00","051-240-6564","-","서구 초장동 주민자치회","10","0","10","35.0959789796","129.0202898694","부산 서구 초장로27번길 32 (초장동, 초장동주민센터)"
"2024년 별이 빛나는 가족 사랑 프로그램[6회]","접수중","2024-05-24","2024-05-24","2024-04-29 10:00:00","2024-05-22 18:00:00","25000","19:30","21:30","051-610-3227","환불신청서 양식.hwp","금련산청소년수련원","10","20","-10","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"유아미술(6~7세)","교육중","2024-05-09","2024-12-31","2024-04-29 09:00:00","2024-05-03 18:00:00","0","15:30","17:00","051-240-6591","-","서구 충무동 주민자치회","15","0","15","35.0980222819","129.0216210166","부산 서구 구덕로148번길 16 (토성동5가, 충무동주민센터)"
"[서대신1동] 웜앤쿨?! 나를 빛나게 하는 스타일링","접수중","2024-05-24","2024-07-26","2024-04-25 09:00:00","2024-05-17 18:00:00","15000","13:30","15:30","051-240-6465","-","서구 서대신1동 주민자치회","12","0","12","35.1104211433109","129.01732049798","부산 서구 구덕로295번길 4 (서대신동2가, 서대신골목시장 고객쉼터)"
"[서대신1동] 2024년 고운글 사랑방 한글교실","접수중","2024-05-02","2024-12-31","2024-04-25 09:00:00","2024-12-31 18:00:00","0","14:00","16:00","051-240-6465","-","서구 서대신1동 주민자치회","20","0","20","35.1110831624","129.0144160183","부산 서구 구덕로315번길 49 (서대신동2가, 서대신1동주민센터)"
"어린이 방송댄스","접수중","2024-05-11","2024-07-27","2024-04-25 09:00:00","2024-06-30 18:00:00","10000","14:00","16:00","051-240-6424","-","서구 동대신2동 주민자치회","10","0","10","35.112962283","129.0232227987","부산 서구 보동길275번길 9 (동대신동2가, 동대신2동주민센터)"
"나만의 캘리그라피","접수중","2024-05-01","2024-07-24","2024-04-25 09:00:00","2024-06-30 18:00:00","10000","14:00","16:00","051-240-6424","-","서구 동대신2동 주민자치회","15","0","15","35.112962283","129.0232227987","부산 서구 보동길275번길 9 (동대신동2가, 동대신2동주민센터)"
"생활체조교실","교육중","2024-05-13","2024-12-20","2024-04-24 09:00:00","2024-05-01 18:00:00","0","10:30","11:30","051-240-6664","-","서구 암남동 주민자치회","40","0","40","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"다함께 차차차 라인댄스","교육중","2024-05-13","2024-07-29","2024-04-24 09:00:00","2024-05-01 18:00:00","5000","15:30","17:30","051-240-6664","-","서구 암남동 주민자치회","40","0","40","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"신나는 노래교실","교육중","2024-05-07","2024-07-23","2024-04-24 09:00:00","2024-05-01 18:00:00","5000","10:00","12:00","051-240-6664","-","서구 암남동 주민자치회","40","0","40","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"스마트폰/키오스크  활용 교육","교육중","2024-05-08","2024-07-31","2024-04-24 09:00:00","2024-05-01 18:00:00","5000","14:00","16:00","051-240-6664","-","서구 암남동 주민자치회","15","0","15","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"내손에서 피어나는 수채화 캘리그라피","교육중","2024-05-09","2024-08-01","2024-04-24 09:00:00","2024-05-01 18:00:00","5000","14:00","16:00","051-240-6664","-","서구 암남동 주민자치회","15","0","15","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"토요 K-POP 방송댄스","교육중","2024-05-11","2024-07-27","2024-04-24 09:00:00","2024-05-01 18:00:00","5000","10:00","12:00","051-240-6664","-","서구 암남동 주민자치회","15","0","15","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"창의력이 쑥쑥! 자라는 알록달록 아트 아카데미","접수마감","2024-05-18","2024-07-06","2024-04-24 09:00:00","2024-05-01 18:00:00","0","10:00","12:00","051-240-6664","-","서구 암남동 주민자치회","15","0","15","35.079898156","129.0209500012","부산 서구 충무대로 83 (암남동, 암남동주민센터)"
"셀프 젤네일 아트","교육중","2024-05-07","2024-07-30","2024-04-23 09:00:00","2024-05-07 10:00:00","12000","10:00","12:00","051-309-6308","게시판 홍보.hwp","북구 화명1동 주민자치회","15","0","15","35.2327839385","129.0137835549","부산 북구 금곡대로 274 (화명동, 화명1동주민센터)"
"강서체육공원실내수영장2024년5월수영강습인터넷접수안내","교육중","2024-05-01","2024-05-31","2024-04-23 06:00:00","2024-04-24 18:00:00","0","-","-","-","5월강습지도자 현황 (1).hwp","체육시설관리사업소(강서)","364","348","16","35.2109574426","128.9722129018","부산 강서구 체육공원로 43 (대저1동, 강서체육공원)"
"[24.5.17.] 청소년가족야영캠프","접수중","2024-05-17","2024-05-18","2024-04-22 10:00:00","2024-05-15 00:00:00","50000","15:00","18:00","051-610-3225","이용수칙 및 비상연락망.hwp","금련산청소년수련원","6","4","2","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"[24.5.18.] 청소년가족야영캠프","접수중","2024-05-18","2024-05-19","2024-04-22 10:00:00","2024-05-15 00:00:00","50000","15:00","18:00","051-610-3225","이용수칙 및 비상연락망.hwp","금련산청소년수련원","6","9","-3","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"[24.5.24.] 청소년가족야영캠프","접수중","2024-05-24","2024-05-25","2024-04-22 10:00:00","2024-05-22 00:00:00","50000","15:00","18:00","051-610-3225","이용수칙 및 비상연락망.hwp","금련산청소년수련원","6","2","4","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"[24.5.25.] 청소년가족야영캠프","접수중","2024-05-25","2024-05-26","2024-04-22 10:00:00","2024-05-22 00:00:00","50000","15:00","18:00","051-610-3225","이용수칙 및 비상연락망.hwp","금련산청소년수련원","6","9","-3","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"[24.5.31.] 청소년가족야영캠프","접수중","2024-05-31","2024-06-01","2024-04-22 10:00:00","2024-05-29 00:00:00","50000","15:00","18:00","051-610-3225","이용수칙 및 비상연락망.hwp","금련산청소년수련원","6","8","-2","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"[24.6.1.] 청소년가족야영캠프","접수중","2024-06-01","2024-06-02","2024-04-22 10:00:00","2024-05-29 00:00:00","50000","15:00","18:00","051-610-3225","이용수칙 및 비상연락망.hwp","금련산청소년수련원","6","9","-3","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
